batches,total,value,policy,value_prefix,simsiam
21888,0.40376,0.60434,0.60028,0.30093,-0.32426
22400,0.29374,0.66232,0.46816,0.30869,-0.32435
23168,0.86823,0.88229,0.97718,0.29298,-0.31125
23680,0.93883,0.9424,1.01504,0.30121,-0.30651
24448,0.23209,0.58562,0.3977,0.29203,-0.30203
24960,0.13928,0.52875,0.28351,0.28435,-0.28038
25728,0.35725,0.77283,0.4592,0.28328,-0.28922
26240,0.23768,0.76718,0.34463,0.27173,-0.28524
27008,0.25999,0.72199,0.3697,0.27875,-0.28448
27520,0.18772,0.83728,0.25783,0.27779,-0.27861
28288,0.27026,0.89142,0.32151,0.29234,-0.28322
28800,0.29803,0.86356,0.34279,0.28698,-0.27382
29568,0.35874,0.95325,0.36522,0.2937,-0.26925
