iteration,s0,s1,s2,s3
312,0.53503,0.65088,0.50818,0.66101
315,0.45825,0.59851,0.53394,0.59973
317,0.51794,0.46484,0.55737,0.61694
320,0.50317,0.54248,0.54041,0.68176
322,0.52783,0.6781,0.50134,0.6095
325,0.57104,0.61597,0.57654,0.57275
327,0.53259,0.677,0.51025,0.5874
330,0.54492,0.51697,0.54468,0.62708
332,0.49329,0.32202,0.54614,0.58142
335,0.48157,0.26636,0.57715,0.57593
337,0.49573,0.30969,0.50989,0.52625
340,0.50403,0.3291,0.5177,0.62769
342,0.43591,0.45923,0.52942,0.53503
345,0.55371,0.3291,0.47839,0.58289
347,0.51855,0.3042,0.48145,0.5072
350,0.48987,0.27454,0.54626,0.58911
352,0.55676,0.47693,0.56738,0.62976
355,0.51428,0.5509,0.50659,0.57471
357,0.52173,0.64905,0.4928,0.60461
360,0.52222,0.59558,0.54211,0.63977
