batches,total,value,policy,value_prefix,simsiam
13098,0.01168,0.92154,0.11313,0.31711,-0.32447
13354,0.15074,1.11551,0.21168,0.3286,-0.33421
13738,0.0687,1.02809,0.15,0.32663,-0.33247
13993,0.11003,1.14344,0.15704,0.3162,-0.32453
14376,0.03308,1.016,0.11654,0.30777,-0.32262
14632,0.13934,1.06636,0.2153,0.30665,-0.32459
15016,0.158,1.14975,0.20908,0.30704,-0.32278
15271,0.17381,1.1332,0.23225,0.30545,-0.3236
15526,0.24268,1.16567,0.27878,0.30296,-0.31524
15910,0.06648,0.98234,0.14274,0.29463,-0.30824
16166,0.17675,1.03237,0.23285,0.28911,-0.30165
16548,0.21692,0.99608,0.27761,0.28481,-0.29726
16804,0.27184,1.03702,0.31401,0.28539,-0.29341
17188,0.3219,1.23099,0.31535,0.28638,-0.29378
17444,0.21604,0.98518,0.2608,0.27836,-0.28471
17699,0.14787,0.88123,0.22219,0.27557,-0.2851
18082,0.05972,0.86549,0.13981,0.2806,-0.28853
18338,0.16578,0.87493,0.24089,0.28265,-0.28825
18722,0.13294,0.80886,0.208,0.2719,-0.27459
18976,0.12243,0.81772,0.19392,0.27652,-0.27622
19360,0.1659,0.80328,0.24987,0.27738,-0.28109
