iteration,s0,s1,s2,s3
202,0.31177,0.33984,0.28674,0.52539
205,0.29724,0.38074,0.34595,0.54761
207,0.29272,0.34119,0.31116,0.51917
210,0.31238,0.38867,0.32654,0.5387
212,0.31201,0.34607,0.33679,0.54626
215,0.33337,0.32617,0.28748,0.52869
217,0.3125,0.35486,0.34473,0.5188
220,0.3324,0.30225,0.32227,0.51562
222,0.32751,0.37561,0.34973,0.50916
225,0.31396,0.32068,0.29932,0.48877
227,0.34607,0.33447,0.27881,0.50415
230,0.31458,0.35925,0.35242,0.44312
232,0.32629,0.3866,0.29321,0.44934
235,0.31421,0.38538,0.32385,0.44653
237,0.31433,0.38831,0.29846,0.49902
240,0.38269,0.36133,0.29749,0.47766
242,0.34766,0.354,0.31152,0.47998
245,0.33826,0.34216,0.28662,0.46252
247,0.33362,0.34937,0.27759,0.50964
250,0.31726,0.37769,0.32227,0.47412
252,0.34094,0.37561,0.32788,0.43799
255,0.33118,0.37842,0.26514,0.47095
257,0.33252,0.32214,0.33362,0.45593
260,0.35815,0.36047,0.31091,0.48914
262,0.35669,0.36792,0.29675,0.48474
265,0.28967,0.36755,0.28381,0.39758
267,0.35242,0.34839,0.30688,0.43213
270,0.34351,0.35144,0.28125,0.48267
272,0.32629,0.36462,0.29883,0.39563
275,0.3634,0.33105,0.2821,0.44629
277,0.36414,0.38477,0.27771,0.43335
280,0.35168,0.3512,0.30005,0.44727
282,0.3512,0.32043,0.29041,0.41052
285,0.33545,0.29333,0.28088,0.43152
287,0.33691,0.33301,0.28784,0.3656
290,0.32617,0.3064,0.27429,0.41467
292,0.32947,0.35339,0.27612,0.43726
295,0.32825,0.36084,0.26807,0.40759
297,0.31921,0.33447,0.2832,0.41809
300,0.33813,0.34729,0.25854,0.45105
302,0.32812,0.32678,0.27747,0.46411
305,0.35315,0.34839,0.27148,0.44153
307,0.33057,0.35486,0.27173,0.45642
310,0.36499,0.33691,0.28027,0.41199
312,0.32983,0.3446,0.28003,0.40906
315,0.35303,0.33069,0.26196,0.40601
317,0.35608,0.32043,0.28101,0.37488
320,0.34778,0.33997,0.26001,0.37866
322,0.34802,0.34741,0.28809,0.43701
325,0.33704,0.29993,0.28015,0.41931
327,0.34924,0.32947,0.2865,0.40063
330,0.33154,0.31775,0.25671,0.41724
332,0.34961,0.3186,0.25659,0.38538
335,0.33813,0.33984,0.27405,0.40222
337,0.33582,0.34521,0.27527,0.42078
340,0.33411,0.34656,0.27759,0.35718
342,0.32556,0.33032,0.28113,0.38135
345,0.34082,0.28943,0.29419,0.41443
347,0.33337,0.38489,0.31079,0.39771
350,0.28955,0.37158,0.29187,0.40356
352,0.38513,0.33411,0.27539,0.40662
355,0.35034,0.31799,0.27222,0.43872
357,0.33423,0.32312,0.26746,0.39539
